make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign
AMC Concord,4099.0,22.0,3.0,2.5,11.0,2930.0,186.0,40.0,121.0,3.5799999237060547,0
AMC Pacer,4749.0,17.0,3.0,3.0,11.0,3350.0,173.0,40.0,258.0,2.5299999713897705,0
AMC Spirit,3799.0,22.0,NaN,3.0,12.0,2640.0,168.0,35.0,121.0,3.0799999237060547,0
Buick Century,4816.0,20.0,3.0,4.5,16.0,3250.0,196.0,40.0,196.0,2.930000066757202,0
Buick Electra,7827.0,15.0,4.0,4.0,20.0,4080.0,222.0,43.0,350.0,2.4100000858306885,0
Buick LeSabre,5788.0,18.0,3.0,4.0,21.0,3670.0,218.0,43.0,231.0,2.7300000190734863,0
Buick Opel,4453.0,26.0,NaN,3.0,10.0,2230.0,170.0,34.0,304.0,2.869999885559082,0
Buick Regal,5189.0,20.0,3.0,2.0,16.0,3280.0,200.0,42.0,196.0,2.930000066757202,0
Buick Riviera,10372.0,16.0,3.0,3.5,17.0,3880.0,207.0,43.0,231.0,2.930000066757202,0
Buick Skylark,4082.0,19.0,3.0,3.5,13.0,3400.0,200.0,42.0,231.0,3.0799999237060547,0
Cad. Deville,11385.0,14.0,3.0,4.0,20.0,4330.0,221.0,44.0,425.0,2.2799999713897705,0
Cad. Eldorado,14500.0,14.0,2.0,3.5,16.0,3900.0,204.0,43.0,350.0,2.190000057220459,0
Cad. Seville,15906.0,21.0,3.0,3.0,13.0,4290.0,204.0,45.0,350.0,2.240000009536743,0
Chev. Chevette,3299.0,29.0,3.0,2.5,9.0,2110.0,163.0,34.0,231.0,2.930000066757202,0
Chev. Impala,5705.0,16.0,4.0,4.0,20.0,3690.0,212.0,43.0,250.0,2.559999942779541,0
Chev. Malibu,4504.0,22.0,3.0,3.5,17.0,3180.0,193.0,31.0,200.0,2.7300000190734863,0
Chev. Monte Carlo,5104.0,22.0,2.0,2.0,16.0,3220.0,200.0,41.0,200.0,2.7300000190734863,0
Chev. Monza,3667.0,24.0,2.0,2.0,7.0,2750.0,179.0,40.0,151.0,2.7300000190734863,0
Chev. Nova,3955.0,19.0,3.0,3.5,13.0,3430.0,197.0,43.0,250.0,2.559999942779541,0
Dodge Colt,3984.0,30.0,5.0,2.0,8.0,2120.0,163.0,35.0,98.0,3.5399999618530273,0
Dodge Diplomat,4010.0,18.0,2.0,4.0,17.0,3600.0,206.0,46.0,318.0,2.4700000286102295,0
Dodge Magnum,5886.0,16.0,2.0,4.0,17.0,3600.0,206.0,46.0,318.0,2.4700000286102295,0
Dodge St. Regis,6342.0,17.0,2.0,4.5,21.0,3740.0,220.0,46.0,225.0,2.940000057220459,0
Ford Fiesta,4389.0,28.0,4.0,1.5,9.0,1800.0,147.0,33.0,98.0,3.1500000953674316,0
Ford Mustang,4187.0,21.0,3.0,2.0,10.0,2650.0,179.0,43.0,140.0,3.0799999237060547,0
Linc. Continental,11497.0,12.0,3.0,3.5,22.0,4840.0,233.0,51.0,400.0,2.4700000286102295,0
Linc. Mark V,13594.0,12.0,3.0,2.5,18.0,4720.0,230.0,48.0,400.0,2.4700000286102295,0
Linc. Versailles,13466.0,14.0,3.0,3.5,15.0,3830.0,201.0,41.0,302.0,2.4700000286102295,0
Merc. Bobcat,3829.0,22.0,4.0,3.0,9.0,2580.0,169.0,39.0,140.0,2.7300000190734863,0
Merc. Cougar,5379.0,14.0,4.0,3.5,16.0,4060.0,221.0,48.0,302.0,2.75,0
Merc. Marquis,6165.0,15.0,3.0,3.5,23.0,3720.0,212.0,44.0,302.0,2.259999990463257,0
Merc. Monarch,4516.0,18.0,3.0,3.0,15.0,3370.0,198.0,41.0,250.0,2.430000066757202,0
Merc. XR-7,6303.0,14.0,4.0,3.0,16.0,4130.0,217.0,45.0,302.0,2.75,0
Merc. Zephyr,3291.0,20.0,3.0,3.5,17.0,2830.0,195.0,43.0,140.0,3.0799999237060547,0
Olds 98,8814.0,21.0,4.0,4.0,20.0,4060.0,220.0,43.0,350.0,2.4100000858306885,0
Olds Cutl Supr,5172.0,19.0,3.0,2.0,16.0,3310.0,198.0,42.0,231.0,2.930000066757202,0
Olds Cutlass,4733.0,19.0,3.0,4.5,16.0,3300.0,198.0,42.0,231.0,2.930000066757202,0
Olds Delta 88,4890.0,18.0,4.0,4.0,20.0,3690.0,218.0,42.0,231.0,2.7300000190734863,0
Olds Omega,4181.0,19.0,3.0,4.5,14.0,3370.0,200.0,43.0,231.0,3.0799999237060547,0
Olds Starfire,4195.0,24.0,1.0,2.0,10.0,2730.0,180.0,40.0,151.0,2.7300000190734863,0
Olds Toronado,10371.0,16.0,3.0,3.5,17.0,4030.0,206.0,43.0,350.0,2.4100000858306885,0
Plym. Arrow,4647.0,28.0,3.0,2.0,11.0,3260.0,170.0,37.0,156.0,3.049999952316284,0
Plym. Champ,4425.0,34.0,5.0,2.5,11.0,1800.0,157.0,37.0,86.0,2.9700000286102295,0
Plym. Horizon,4482.0,25.0,3.0,4.0,17.0,2200.0,165.0,36.0,105.0,3.369999885559082,0
Plym. Sapporo,6486.0,26.0,NaN,1.5,8.0,2520.0,182.0,38.0,119.0,3.5399999618530273,0
Plym. Volare,4060.0,18.0,2.0,5.0,16.0,3330.0,201.0,44.0,225.0,3.2300000190734863,0
Pont. Catalina,5798.0,18.0,4.0,4.0,20.0,3700.0,214.0,42.0,231.0,2.7300000190734863,0
Pont. Firebird,4934.0,18.0,1.0,1.5,7.0,3470.0,198.0,42.0,231.0,3.0799999237060547,0
Pont. Grand Prix,5222.0,19.0,3.0,2.0,16.0,3210.0,201.0,45.0,231.0,2.930000066757202,0
Pont. Le Mans,4723.0,19.0,3.0,3.5,17.0,3200.0,199.0,40.0,231.0,2.930000066757202,0
Pont. Phoenix,4424.0,19.0,NaN,3.5,13.0,3420.0,203.0,43.0,231.0,3.0799999237060547,0
Pont. Sunbird,4172.0,24.0,2.0,2.0,7.0,2690.0,179.0,41.0,151.0,2.7300000190734863,0
Audi 5000,9690.0,17.0,5.0,3.0,15.0,2830.0,189.0,37.0,131.0,3.200000047683716,1
Audi Fox,6295.0,23.0,3.0,2.5,11.0,2070.0,174.0,36.0,97.0,3.700000047683716,1
BMW 320i,9735.0,25.0,4.0,2.5,12.0,2650.0,177.0,34.0,121.0,3.640000104904175,1
Datsun 200,6229.0,23.0,4.0,1.5,6.0,2370.0,170.0,35.0,119.0,3.890000104904175,1
Datsun 210,4589.0,35.0,5.0,2.0,8.0,2020.0,165.0,32.0,85.0,3.700000047683716,1
Datsun 510,5079.0,24.0,4.0,2.5,8.0,2280.0,170.0,34.0,119.0,3.5399999618530273,1
Datsun 810,8129.0,21.0,4.0,2.5,8.0,2750.0,184.0,38.0,146.0,3.549999952316284,1
Fiat Strada,4296.0,21.0,3.0,2.5,16.0,2130.0,161.0,36.0,105.0,3.369999885559082,1
Honda Accord,5799.0,25.0,5.0,3.0,10.0,2240.0,172.0,36.0,107.0,3.049999952316284,1
Honda Civic,4499.0,28.0,4.0,2.5,5.0,1760.0,149.0,34.0,91.0,3.299999952316284,1
Mazda GLC,3995.0,30.0,4.0,3.5,11.0,1980.0,154.0,33.0,86.0,3.7300000190734863,1
Peugeot 604,12990.0,14.0,NaN,3.5,14.0,3420.0,192.0,38.0,163.0,3.5799999237060547,1
Renault Le Car,3895.0,26.0,3.0,3.0,10.0,1830.0,142.0,34.0,79.0,3.7200000286102295,1
Subaru,3798.0,35.0,5.0,2.5,11.0,2050.0,164.0,36.0,97.0,3.809999942779541,1
Toyota Celica,5899.0,18.0,5.0,2.5,14.0,2410.0,174.0,36.0,134.0,3.059999942779541,1
Toyota Corolla,3748.0,31.0,5.0,3.0,9.0,2200.0,165.0,35.0,97.0,3.2100000381469727,1
Toyota Corona,5719.0,18.0,5.0,2.0,11.0,2670.0,175.0,36.0,134.0,3.049999952316284,1
VW Dasher,7140.0,23.0,4.0,2.5,12.0,2160.0,172.0,36.0,97.0,3.740000009536743,1
VW Diesel,5397.0,41.0,5.0,3.0,15.0,2040.0,155.0,35.0,90.0,3.7799999713897705,1
VW Rabbit,4697.0,25.0,4.0,3.0,15.0,1930.0,155.0,35.0,89.0,3.7799999713897705,1
VW Scirocco,6850.0,25.0,4.0,2.0,16.0,1990.0,156.0,36.0,97.0,3.7799999713897705,1
Volvo 260,11995.0,17.0,5.0,2.5,14.0,3170.0,193.0,37.0,163.0,2.9800000190734863,1
